Node,Pulse,Freq,start,Duration(us),
,,,,,
0,0,0,0,192,          
0,1,31,915,192,
0,2,0,2566,192,
0,3,31,4212,192,
0,4,18,5729,160,
0,5,25,6626,160,
0,6,26,7193,160,
0,7,19,7679,160,
0,8,12,7954,160,
0,9,10,8448,160,
0,10,3,9245,160,
0,11,9,10908,160,
0,12,15,11689,160,
0,13,24,12364,160,
0,14,11,14162,160,
0,15,20,14744,160,
0,16,28,15917,160,
0,17,5,16595,160,
0,18,16,18978,160,
0,19,21,19286,160,
1,0,0,0,192,
1,1,31,713,192,
1,2,0,2198,192,
1,3,31,2976,192,
1,4,22,4074,160,
1,5,18,5302,160,
1,6,17,6211,160,
1,7,23,7049,160,
1,8,4,8391,160,
1,9,15,8710,160,
1,10,7,9484,160,
1,11,8,9900,160,
1,12,5,11364,160,
1,13,11,11826,160,
1,14,6,12213,160,
1,15,12,12925,160,
1,16,27,13390,160,
1,17,14,14077,160,
1,18,19,15441,160,
1,19,29,19370,160,
2,0,0,0,192,
2,1,31,954,192,
2,2,0,2942,192,
2,3,31,3219,192,
2,4,20,5952,160,
2,5,6,6888,160,
2,6,12,7246,160,
2,7,23,7795,160,
2,8,19,9032,160,
2,9,11,9931,160,
2,10,3,10451,160,
2,11,28,10712,160,
2,12,29,11794,160,
2,13,18,14355,160,
2,14,13,15237,160,
2,15,15,16084,160,
2,16,10,18355,160,
2,17,2,18767,160,
2,18,26,19124,160,
2,19,16,19551,160,
